	NC_045512.2_Reference	3450804_Human	7845315_Feline	2336251_Human	3346939_Human	2536647_Human	2692488_Human	8897004_Feline	2736237_Human	3372805_Human	5058462_Human	3015775_Human	2735935_Human	4212467_Human	5058277_Human	2715056_Human	7845317_Canine	7845318_Canine	3656773_Human	2692451_Human	3105044_Human	2692524_Human	4234707_Human	3832730_Human	3372812_Human	7845316_Canine
NC_045512.2_Reference	0	26	28	29	28	30	34	28	28	36	30	32	33	29	30	24	29	29	31	31	29	28	33	30	32	29
3450804_Human	26	0	6	47	6	48	52	48	45	53	8	50	51	44	8	41	7	7	9	49	8	46	14	8	10	7
7845315_Feline	28	6	0	49	8	50	54	50	47	55	10	51	53	46	10	43	5	5	11	51	10	48	15	10	12	9
2336251_Human	29	47	49	0	49	1	5	51	13	51	51	17	48	48	51	47	50	50	52	16	50	9	55	51	53	49
3346939_Human	28	6	8	49	0	50	54	50	47	55	10	52	53	46	10	43	9	9	11	51	10	48	15	10	12	9
2536647_Human	30	48	50	1	50	0	6	52	14	52	52	18	49	49	52	48	51	51	53	17	51	10	56	52	54	50
2692488_Human	34	52	54	5	54	6	0	56	18	56	56	22	53	53	56	52	55	55	57	21	55	14	59	56	58	54
8897004_Feline	28	48	50	51	50	52	56	0	48	56	52	54	55	49	52	40	51	51	53	52	49	50	54	52	54	51
2736237_Human	28	45	47	13	47	14	18	48	0	45	49	16	43	47	49	46	48	48	50	13	49	12	53	49	51	47
3372805_Human	36	53	55	51	55	52	56	56	45	0	57	54	13	53	57	53	56	56	58	51	57	49	60	57	59	56
5058462_Human	30	8	10	51	10	52	56	52	49	57	0	54	55	48	12	45	11	11	13	53	4	50	18	4	2	11
3015775_Human	32	50	51	17	52	18	22	54	16	54	54	0	51	51	54	50	53	52	55	18	53	16	58	54	56	50
2735935_Human	33	51	53	48	53	49	53	55	43	13	55	51	0	52	55	51	54	54	56	49	55	47	59	55	57	54
4212467_Human	29	44	46	48	46	49	53	49	47	53	48	51	52	0	48	43	47	47	49	50	47	47	52	48	50	47
5058277_Human	30	8	10	51	10	52	56	52	49	57	12	54	55	48	0	45	11	11	13	53	12	50	8	12	14	11
2715056_Human	24	41	43	47	43	48	52	40	46	53	45	50	51	43	45	0	44	44	46	47	44	46	49	45	47	44
7845317_Canine	29	7	5	50	9	51	55	51	48	56	11	53	54	47	11	44	0	0	12	52	11	49	17	11	13	10
7845318_Canine	29	7	5	50	9	51	55	51	48	56	11	52	54	47	11	44	0	0	12	52	11	49	17	11	13	10
3656773_Human	31	9	11	52	11	53	57	53	50	58	13	55	56	49	13	46	12	12	0	54	13	51	19	13	15	6
2692451_Human	31	49	51	16	51	17	21	52	13	51	53	18	49	50	53	47	52	52	54	0	50	15	55	53	55	51
3105044_Human	29	8	10	50	10	51	55	49	49	57	4	53	55	47	12	44	11	11	13	50	0	49	17	4	6	11
2692524_Human	28	46	48	9	48	10	14	50	12	49	50	16	47	47	50	46	49	49	51	15	49	0	54	50	52	48
4234707_Human	33	14	15	55	15	56	59	54	53	60	18	58	59	52	8	49	17	17	19	55	17	54	0	18	20	16
3832730_Human	30	8	10	51	10	52	56	52	49	57	4	54	55	48	12	45	11	11	13	53	4	50	18	0	6	11
3372812_Human	32	10	12	53	12	54	58	54	51	59	2	56	57	50	14	47	13	13	15	55	6	52	20	6	0	13
7845316_Canine	29	7	9	49	9	50	54	51	47	56	11	50	54	47	11	44	10	10	6	51	11	48	16	11	13	0
