	406801_Reference	3372805_Human	2336251_Human	2736237_Human	7845318_Canine	4212467_Human	4234707_Human	3105044_Human	2735935_Human	7845317_Canine	7845316_Canine	2715056_Human	7845315_Feline	3832730_Human	2692524_Human	3372812_Human	3450804_Human	2692451_Human	8897004_Feline	3346939_Human	3656773_Human	3015775_Human	2692488_Human	5058462_Human	2536647_Human	5058277_Human
406801_Reference	0	38	31	30	31	31	35	31	35	31	31	26	30	32	30	34	28	33	30	30	33	34	36	32	32	32
3372805_Human	38	0	51	45	56	53	60	57	13	56	56	53	55	57	49	59	53	51	56	55	58	54	56	57	52	57
2336251_Human	31	51	0	13	50	48	55	50	48	50	49	47	49	51	9	53	47	16	51	49	52	17	5	51	1	51
2736237_Human	30	45	13	0	48	47	53	49	43	48	47	46	47	49	12	51	45	13	48	47	50	16	18	49	14	49
7845318_Canine	31	56	50	48	0	47	17	11	54	0	10	44	5	11	49	13	7	52	51	9	12	52	55	11	51	11
4212467_Human	31	53	48	47	47	0	52	47	52	47	47	43	46	48	47	50	44	50	49	46	49	51	53	48	49	48
4234707_Human	35	60	55	53	17	52	0	17	59	17	16	49	15	18	54	20	14	55	54	15	19	58	59	18	56	8
3105044_Human	31	57	50	49	11	47	17	0	55	11	11	44	10	4	49	6	8	50	49	10	13	53	55	4	51	12
2735935_Human	35	13	48	43	54	52	59	55	0	54	54	51	53	55	47	57	51	49	55	53	56	51	53	55	49	55
7845317_Canine	31	56	50	48	0	47	17	11	54	0	10	44	5	11	49	13	7	52	51	9	12	53	55	11	51	11
7845316_Canine	31	56	49	47	10	47	16	11	54	10	0	44	9	11	48	13	7	51	51	9	6	50	54	11	50	11
2715056_Human	26	53	47	46	44	43	49	44	51	44	44	0	43	45	46	47	41	47	40	43	46	50	52	45	48	45
7845315_Feline	30	55	49	47	5	46	15	10	53	5	9	43	0	10	48	12	6	51	50	8	11	51	54	10	50	10
3832730_Human	32	57	51	49	11	48	18	4	55	11	11	45	10	0	50	6	8	53	52	10	13	54	56	4	52	12
2692524_Human	30	49	9	12	49	47	54	49	47	49	48	46	48	50	0	52	46	15	50	48	51	16	14	50	10	50
3372812_Human	34	59	53	51	13	50	20	6	57	13	13	47	12	6	52	0	10	55	54	12	15	56	58	2	54	14
3450804_Human	28	53	47	45	7	44	14	8	51	7	7	41	6	8	46	10	0	49	48	6	9	50	52	8	48	8
2692451_Human	33	51	16	13	52	50	55	50	49	52	51	47	51	53	15	55	49	0	52	51	54	18	21	53	17	53
8897004_Feline	30	56	51	48	51	49	54	49	55	51	51	40	50	52	50	54	48	52	0	50	53	54	56	52	52	52
3346939_Human	30	55	49	47	9	46	15	10	53	9	9	43	8	10	48	12	6	51	50	0	11	52	54	10	50	10
3656773_Human	33	58	52	50	12	49	19	13	56	12	6	46	11	13	51	15	9	54	53	11	0	55	57	13	53	13
3015775_Human	34	54	17	16	52	51	58	53	51	53	50	50	51	54	16	56	50	18	54	52	55	0	22	54	18	54
2692488_Human	36	56	5	18	55	53	59	55	53	55	54	52	54	56	14	58	52	21	56	54	57	22	0	56	6	56
5058462_Human	32	57	51	49	11	48	18	4	55	11	11	45	10	4	50	2	8	53	52	10	13	54	56	0	52	12
2536647_Human	32	52	1	14	51	49	56	51	49	51	50	48	50	52	10	54	48	17	52	50	53	18	6	52	0	52
5058277_Human	32	57	51	49	11	48	8	12	55	11	11	45	10	12	50	14	8	53	52	10	13	54	56	12	52	0
